year,road_t,road_n,car,puj,uv,taxi,pub,truck,trailer,mc,tricycle,total,year_cat,year_int,car_log,puj_sqrt,uv_log1p,taxi_sqrt,pub_log,trailer_log1p,mc_sqrt,tricycle_sqrt,total_log
2018-01-01,R1,ROXAS BOULEVARD,129475,860,63660,16387,17820,992,2795,45199,405,203487,2018,2018,11.771243091292092,29.32575659723036,11.061311700836084,128.0117182136073,9.788076701024801,7.935945103353701,212.60056443951413,20.12461179749811,12.223357399760358
2018-01-01,R2,TAFT AVENUE,37789,119740,107370,5644,41290,692,4,20338,459,91766,2018,2018,10.539773333966417,346.03468034288124,11.584036092428182,75.1265598839718,10.628375618880137,1.6094379124341003,142.61135999632006,21.42428528562855,11.426997137634165
2018-01-01,R3,SSH,56104,390,3840,4382,7480,6807,2872,29545,28,100909,2018,2018,10.934962390216747,19.748417658131498,8.253227645581772,66.19667665374146,8.919988070968524,7.96311205897929,171.8865905182833,5.291502622129181,11.52197439958884
2018-01-01,R4,SHAW BOULEVARD,52128,58010,34990,3684,690,1250,155,36486,5,103077,2018,2018,10.861457511401772,240.85265205099984,10.462817585361734,60.69596362197407,6.536691597591305,5.049856007249537,191.01308855677928,2.23606797749979,11.543231560733936
2018-01-01,R5,ORTIGAS AVENUE,79128,106740,85420,3946,11150,5515,638,64245,677,174480,2018,2018,11.278822073419677,326.71088136148757,11.355335544395457,62.81719509815764,9.319194776888265,6.459904454377535,253.46597404779996,26.019223662515376,12.069565400875511
2018-01-01,R6,MAGSAYSAY BOULEVARD,59811,60890,1590,4776,7560,2821,412,37237,1666,113727,2018,2018,10.998944869510936,246.75899173079793,7.371489295214277,69.10861017268398,8.930626469173578,6.023447592961033,192.96890941288962,40.8166632639171,11.641556118566267
2018-01-01,R6,AURORA BOULEVARD,37881,149750,83610,6047,700,2027,38,33970,94,103463,2018,2018,10.54220494610679,386.975451417787,11.333918409144104,77.76245880886226,6.551080335043404,3.6635616461296463,184.30952227163957,9.695359714832659,11.546969339850815
2018-01-01,R7,QUEZON AVENUE,120080,62300,117120,16214,13970,4123,319,44462,67,204604,2018,2018,11.695913466307344,249.5996794869737,11.670954329195139,127.33420593069248,9.544667452251007,5.768320995793772,210.86014322294292,8.18535277187245,12.22883168265069
2018-01-01,R7,COMMONWEALTH AVENUE,131521,124470,125470,15878,56080,5905,381,60040,589,244916,2018,2018,11.786921813667426,352.8030612112089,11.739821965153745,126.00793625799925,10.934534521708471,5.945420608606575,245.03061033266843,24.269322199023193,12.408670573595058
2018-01-01,R8,A. BONIFACIO,32136,29800,1610,881,14080,8662,2695,14271,882,64076,2018,2018,10.377732176039117,172.6267650163207,7.383989457978509,29.68164415931166,9.552510629712033,7.899524472032198,119.46129080166513,29.698484809834994,11.067825157821375
2018-01-01,R9,RIZAL AVENUE,37404,114400,420,3062,3700,2618,4,32959,1574,89473,2018,2018,10.529532929555337,338.23069050575526,6.040254711277414,55.33534132902769,8.216088098632316,1.6094379124341003,181.54613738661587,39.67366884975475,11.401692182771942
2018-01-01,R10,DEL PAN,32883,17380,1530,2839,840,5416,8235,28426,2483,82257,2018,2018,10.400711085883833,131.83322798141597,7.333023014386481,53.28226721902888,6.733401891837359,9.01627006814768,168.6001186239203,49.82971001320397,11.317603771389255
2018-01-01,R11,MARCOS HIGHWAY,98705,131520,40060,6797,730,5351,369,49597,164,178214,2018,2018,11.499890882699768,362.65686261258037,10.59813360921981,82.44392033376384,6.593044534142437,5.91350300563827,222.70383921252906,12.806248474865697,12.090740354344799
2018-01-01,R11,MCARTHUR HIGHWAY,34663,83980,210,4189,20340,2936,516,39159,249,92165,2018,2018,10.453428114630672,289.7930295918106,5.3471075307174685,64.72248450113763,9.920344669602551,6.248042874508429,197.88633100848577,15.7797338380595,11.431335727930273
2019-01-01,C1,RECTO,21909,101150,21090,2324,7190,762,28,25439,2722,66127,2019,2019,9.99465279028822,318.04087787578504,9.95655427347282,48.2078831727758,8.880446450715093,3.367295829986474,159.49608145656745,52.172789842982326,11.099332414449899
2019-01-01,C2,MENDOZA,50045,590,2950,3870,2350,5592,877,28978,1328,91279,2019,2019,10.82067787965312,24.289915602982237,7.989560449333865,62.20932405998316,7.762170607138205,6.777646593635117,170.2292571798397,36.4417343165772,11.42167602917358
2019-01-01,C2,QUIRINO AVENUE,63263,13290,3910,3425,480,7591,1442,38103,1175,116767,2019,2019,11.055055919067469,115.28226229563678,8.271292652979412,58.52349955359813,6.173786103901937,7.274479558773871,195.19989754095673,34.27827300200522,11.667935775209369
2019-01-01,C3,ARANETA AVENUE,42708,21720,20,3672,300,3718,697,36526,2908,92433,2019,2019,10.662141535298193,147.37706741552432,2.995732273553991,60.597029630172464,5.703782474656201,6.548219102762372,191.11776474205635,53.925875050851054,11.43423933672659
2019-01-01,C4,EDSA,255732,21660,62850,18913,113130,1297,0,110167,9,405882,2019,2019,12.451885300105326,147.17336715588183,11.048506214018394,137.5245432641025,11.636292878920512,0.0,331.91414552561633,3.0,12.913817755945676
2019-01-01,C5,C5,124426,9670,54210,4533,5410,10175,960,88996,41,236060,2019,2019,11.731466440664521,98.33615815151617,10.900620672254384,67.32755750805164,8.596004371840527,6.8679744089702925,298.3219737129667,6.4031242374328485,12.37184128898306
